,Type of person,2/2/16 0:00,2/2/16 0:01,2/2/16 0:02,2/2/16 0:03,2/2/16 0:04,2/2/16 0:05,2/2/16 0:06,2/2/16 0:07,2/2/16 0:08,2/2/16 0:09,2/2/16 0:10,2/2/16 0:11,2/2/16 0:12,2/2/16 0:13,2/2/16 0:14,2/2/16 0:15,2/2/16 0:16,2/2/16 0:17,2/2/16 0:18,2/2/16 0:19,2/2/16 0:20,2/2/16 0:21,2/2/16 0:22,2/2/16 0:23,2/2/16 0:24,2/2/16 0:25,2/2/16 0:26,2/2/16 0:27,2/2/16 0:28,2/2/16 0:29,2/2/16 0:30,2/2/16 0:31,2/2/16 0:32,2/2/16 0:33,2/2/16 0:34,2/2/16 0:35,2/2/16 0:36,2/2/16 0:37,2/2/16 0:38,2/2/16 0:39,2/2/16 0:40,2/2/16 0:41,2/2/16 0:42,2/2/16 0:43,2/2/16 0:44,2/2/16 0:45,2/2/16 0:46,2/2/16 0:47,2/2/16 0:48,2/2/16 0:49,2/2/16 0:50,2/2/16 0:51,2/2/16 0:52,2/2/16 0:53,2/2/16 0:54,2/2/16 0:55,2/2/16 0:56,2/2/16 0:57,2/2/16 0:58,2/2/16 0:59,2/2/16 1:00,2/2/16 1:01,2/2/16 1:02,2/2/16 1:03,2/2/16 1:04,2/2/16 1:05,2/2/16 1:06,2/2/16 1:07,2/2/16 1:08,2/2/16 1:09,2/2/16 1:10,2/2/16 1:11,2/2/16 1:12,2/2/16 1:13,2/2/16 1:14,2/2/16 1:15,2/2/16 1:16,2/2/16 1:17,2/2/16 1:18,2/2/16 1:19,2/2/16 1:20,2/2/16 1:21,2/2/16 1:22,2/2/16 1:23,2/2/16 1:24,2/2/16 1:25,2/2/16 1:26,2/2/16 1:27,2/2/16 1:28,2/2/16 1:29,2/2/16 1:30,2/2/16 1:31,2/2/16 1:32,2/2/16 1:33,2/2/16 1:34,2/2/16 1:35,2/2/16 1:36,2/2/16 1:37,2/2/16 1:38,2/2/16 1:39,2/2/16 1:40,2/2/16 1:41,2/2/16 1:42,2/2/16 1:43,2/2/16 1:44,2/2/16 1:45,2/2/16 1:46,2/2/16 1:47,2/2/16 1:48,2/2/16 1:49,2/2/16 1:50,2/2/16 1:51,2/2/16 1:52,2/2/16 1:53,2/2/16 1:54,2/2/16 1:55,2/2/16 1:56,2/2/16 1:57,2/2/16 1:58,2/2/16 1:59,2/2/16 2:00,2/2/16 2:01,2/2/16 2:02,2/2/16 2:03,2/2/16 2:04,2/2/16 2:05,2/2/16 2:06,2/2/16 2:07,2/2/16 2:08,2/2/16 2:09,2/2/16 2:10,2/2/16 2:11,2/2/16 2:12,2/2/16 2:13,2/2/16 2:14,2/2/16 2:15,2/2/16 2:16,2/2/16 2:17,2/2/16 2:18,2/2/16 2:19,2/2/16 2:20,2/2/16 2:21,2/2/16 2:22,2/2/16 2:23,2/2/16 2:24,2/2/16 2:25,2/2/16 2:26,2/2/16 2:27,2/2/16 2:28,2/2/16 2:29,2/2/16 2:30,2/2/16 2:31,2/2/16 2:32,2/2/16 2:33,2/2/16 2:34,2/2/16 2:35,2/2/16 2:36,2/2/16 2:37,2/2/16 2:38,2/2/16 2:39,2/2/16 2:40,2/2/16 2:41,2/2/16 2:42,2/2/16 2:43,2/2/16 2:44,2/2/16 2:45,2/2/16 2:46,2/2/16 2:47,2/2/16 2:48,2/2/16 2:49,2/2/16 2:50,2/2/16 2:51,2/2/16 2:52,2/2/16 2:53,2/2/16 2:54,2/2/16 2:55,2/2/16 2:56,2/2/16 2:57,2/2/16 2:58,2/2/16 2:59,2/2/16 3:00,2/2/16 3:01,2/2/16 3:02,2/2/16 3:03,2/2/16 3:04,2/2/16 3:05,2/2/16 3:06,2/2/16 3:07,2/2/16 3:08,2/2/16 3:09,2/2/16 3:10,2/2/16 3:11,2/2/16 3:12,2/2/16 3:13,2/2/16 3:14,2/2/16 3:15,2/2/16 3:16,2/2/16 3:17,2/2/16 3:18,2/2/16 3:19,2/2/16 3:20,2/2/16 3:21,2/2/16 3:22,2/2/16 3:23,2/2/16 3:24,2/2/16 3:25,2/2/16 3:26,2/2/16 3:27,2/2/16 3:28,2/2/16 3:29,2/2/16 3:30,2/2/16 3:31,2/2/16 3:32,2/2/16 3:33,2/2/16 3:34,2/2/16 3:35,2/2/16 3:36,2/2/16 3:37,2/2/16 3:38,2/2/16 3:39,2/2/16 3:40,2/2/16 3:41,2/2/16 3:42,2/2/16 3:43,2/2/16 3:44,2/2/16 3:45,2/2/16 3:46,2/2/16 3:47,2/2/16 3:48,2/2/16 3:49,2/2/16 3:50,2/2/16 3:51,2/2/16 3:52,2/2/16 3:53,2/2/16 3:54,2/2/16 3:55,2/2/16 3:56,2/2/16 3:57,2/2/16 3:58,2/2/16 3:59
Coldplay,singer,10.42537314,8.44783271,12.56398495,12.55618254,11.9327158,13.92481568,17.37454303,12.0664164,12.29050973,17.04987044,11.72990244,12.51517767,17.98387336,11.8125189,11.96055491,15.47779029,15.50093478,7.782542926,10.02025493,14.40949721,9.446079781,7.357205182,12.50501456,9.639170834,11.18534541,12.67991951,11.26856719,12.76021287,18.22720224,11.41396807,16.15110359,12.51506283,14.21978564,12.80374508,15.19661476,11.29566408,10.58495616,14.69285116,8.957579494,13.07101436,16.41494399,7.43972106,11.63484524,12.60795838,12.64037882,16.15358215,12.92101298,24.55562777,14.99444145,5.370175057,15.09212556,7.957278946,16.79368322,12.45250456,14.51650417,18.38212477,12.92808479,11.16920836,13.18756199,18.9221814,18.10011008,25.65308845,19.00400356,18.2013528,8.694067047,10.72077803,22.58162582,8.925577449,9.997287419,7.905700383,12.09840033,11.10781881,14.2946649,13.29023791,11.36954007,12.48927601,8.417762876,10.56174752,13.91823437,18.36079529,16.1713797,14.20650463,15.31627853,6.611392696,14.46810104,14.58049726,12.45385492,12.44329375,9.162940885,11.53416094,5.77601405,15.08405531,21.19803835,13.0254598,22.73243402,7.215488717,18.26132187,18.27612225,13.43082619,17.19910021,22.35965849,16.27565739,12.60739894,11.40175392,14.07688798,20.70572983,6.535822894,14.48496761,11.90097763,15.96941923,14.66315255,17.34700364,16.09311151,18.99940151,19.07648595,15.30059666,18.10752158,16.66928173,14.20738986,15.64808155,18.65995165,11.54639468,11.62469573,13.22283668,4.433195093,7.407845308,7.595946744,12.12919491,10.79097476,12.26188958,13.92738343,23.27772465,20.17468916,11.00722424,12.59432212,14.38646595,12.80894,12.86265034,6.505429978,9.816130837,16.5027535,10.03489111,13.462109,10.19713629,10.28014932,8.568496216,12.00240996,15.66997061,17.62427004,19.54600986,19.66852299,12.52673865,10.8284579,12.81562538,3.711106852,16.52194609,3.73032819,9.406402313,11.42268662,11.5330373,9.546923746,13.47134123,5.77378393,13.80860879,7.827376794,9.975280415,16.06263342,19.93460373,12.12563618,6.176290831,6.176290831,12.39326123,8.303463296,14.6159553,4.239639302,12.79250386,10.78964004,10.76927389,2.176624889,8.801570771,6.626889961,13.30155694,6.735602185,13.50674591,6.834762379,6.807252377,15.99549102,4.590296971,16.13132309,9.249406936,9.302325579,20.94000199,11.94557569,11.86179328,9.576753359,7.257603178,12.02199826,4.888222053,2.466195408,29.58895152,12.4673278,4.97998224,15.00781254,12.64848184,5.02330022,7.707253681,7.733475968,18.02025323,20.73207515,7.915528822,7.834121176,21.26685993,10.62507949,10.7927754,8.069293883,21.58063228,18.94131929,13.54538077,5.463630465,10.94747029,16.5513009,11.13506582,25.33915161,22.65366318,14.2931548,17.00804567,14.42639792,8.634531908,11.62255589,17.41406637,17.63236359,2.926468572,23.30373754,8.962459997,10.52579727,12.08913454,9.074379836,18.31370053,24.29689644,21.52064911
Beyonce,singer,26.06343286,29.89233112,35.70816774,31.7208822,26.5171462,25.19728552,19.37929799,22.1217634,28.67785603,22.50582898,23.45980489,36.85024537,30.43424724,29.87872429,26.73535805,37.99093981,26.77434189,29.00765998,30.06076477,26.65756984,31.24472542,26.48593867,31.63033094,18.536867,26.84482898,31.32685997,31.55198815,30.02403028,28.10027013,25.87166094,24.61120546,29.72327421,33.96948793,25.60749015,30.39322953,26.62549391,34.19755066,26.12062429,34.20166716,26.14202873,42.67885437,30.5855199,31.58029421,28.57803901,27.8088334,35.70791843,36.17883634,24.55562777,29.9888829,34.01110869,25.74539067,36.24982632,30.05185418,29.35233217,30.84757136,28.49229339,27.70303885,33.50762509,30.14299883,34.05992652,27.62648381,25.65308845,22.80480427,29.69694403,22.21817133,26.31463697,27.49067491,27.76846318,24.99321854,16.7996133,21.17220057,31.30385299,24.50513983,20.44651986,27.90705288,29.14164403,21.04440719,20.06732029,26.76583532,30.2413099,32.34275939,37.15547365,21.8803979,30.85316594,30.04913292,30.28257124,24.90770984,28.28021306,22.9073522,31.14223454,21.94885338,19.72530309,28.26405113,17.76199063,31.10754128,33.67228068,36.52264375,38.9890608,24.41968397,19.65611452,21.11745524,35.05526207,30.25775746,32.9384002,21.75519052,23.29394606,19.60746867,23.70267427,14.54563933,18.6309891,14.66315255,34.69400728,34.86840827,28.49910227,38.1529719,30.6011933,29.25061179,29.17124302,22.73182379,24.18339876,38.75528421,21.64949002,29.06173934,22.03806114,20.68824379,20.74196688,28.86459761,25.77453919,26.20665299,16.86009817,30.94974096,24.82957295,34.14178166,26.73183031,25.18864424,22.37894703,11.20782249,27.33313198,32.52714989,35.99247973,29.7049563,28.43219149,16.82763625,30.59140887,32.55380618,20.56439091,25.71944991,22.63440198,26.43640506,28.4305598,30.39680825,21.47440912,27.07114476,40.27767975,35.25551506,36.71543576,20.51680503,31.98176787,34.26805986,30.75476614,28.64077124,23.09372784,38.49189284,31.56253436,21.52528618,19.95056082,34.13309603,33.88882634,36.37690855,30.63703979,41.17527219,24.78652246,22.83452406,25.05592336,33.9171144,27.7170917,17.26342406,30.15396691,28.2961236,35.2062831,17.67170656,33.25389234,29.18760947,36.01798909,25.0607954,38.57443014,27.42084175,39.01752428,20.74027254,25.43586908,39.53488372,30.24666954,23.89115139,30.84066255,19.15350672,29.03041273,16.83079757,26.8852213,32.06054033,27.12320556,19.94772448,27.38990234,15.00781254,5.059392732,22.60485099,33.39809929,7.733475968,30.89186268,23.32358455,29.02360567,20.89098981,29.2419324,15.93761924,18.88735695,37.6567048,35.06852746,24.35312479,10.83630462,32.7817828,27.36867572,30.34405166,41.75649683,25.33915161,16.99024739,45.73809536,14.17337139,20.19695708,34.53812763,23.24511178,34.82813275,26.4485454,5.852937144,20.39077035,20.91240667,42.18677163,18.13370182,21.17355294,33.57511765,21.25978439,55.33881198
Lady Gaga,singer,5.212686576,7.797999427,5.951361295,10.5736274,3.977571929,7.293951074,4.677761589,8.044277604,6.828060957,7.501942997,7.58993688,9.038739428,6.225186933,10.4228108,9.849868753,4.92475146,10.56881917,6.367535118,9.304522428,5.763798889,7.99283673,7.357205182,8.09148001,8.15622148,13.42241449,5.221143331,4.507426881,10.5084106,6.835200845,7.609312045,6.921901539,10.16848855,5.529916644,12.00351101,8.798040131,10.48883093,12.21341095,5.713886566,8.957579494,8.986322375,8.207471999,9.919628073,7.479543366,6.724244475,6.741535372,5.951319737,4.307004324,7.892880352,6.174181778,7.160233406,4.438860462,7.073136847,10.60653677,8.89464611,11.79465964,9.191062379,1.84686926,8.376906278,8.47771842,11.35330884,6.668461605,9.501143874,4.751000889,6.705761557,5.796044698,10.72077803,14.72714728,10.90903911,11.9967449,5.929275285,12.09840033,11.10781881,8.168379948,10.22325993,8.268756409,5.203865001,10.52220359,4.224699004,6.423800475,12.96056139,10.7809198,2.185616098,12.03421884,2.203797565,10.01637764,4.486306848,12.45385492,6.787251136,9.162940885,8.073912656,9.241622476,6.961871677,7.066012785,4.736530833,5.98221948,4.810325811,6.087107286,10.96567335,8.546889387,11.05656442,8.695422744,3.755920936,5.042959579,7.60116928,12.79717089,12.94108114,6.535822894,5.267260946,7.933985089,6.653924684,10.66411094,10.67507916,12.06983363,8.142600644,10.90084912,6.954816658,12.53597648,8.334640859,9.945172905,9.957870079,4.306142687,5.773197338,13.0777827,5.876816304,5.910926797,11.8525525,9.11513609,10.61304554,4.624703468,13.79462577,7.737435243,9.311089855,10.86329416,14.15214545,7.871451321,22.37894703,6.404469994,6.431325177,8.131787475,11.45215264,6.601101404,5.017445556,8.41381812,6.798090862,5.140074659,1.713699239,5.143889985,3.482215693,7.049708011,5.330729959,5.364142633,1.789534095,7.218971936,7.323214497,14.8444274,5.507315368,13.05614866,9.406402313,9.518905514,9.61086442,15.27507799,9.622386603,11.54756785,7.890633592,3.913688392,1.995056085,12.04697507,3.98692075,4.041878731,2.042469323,10.29381805,4.13108708,10.37932912,14.6159553,4.239639302,8.593603671,12.94756805,8.615419116,2.176624889,13.20235616,6.626889961,4.43385231,2.245200731,2.251124315,11.39127063,6.807252377,4.570140293,2.295148485,4.608949456,16.18646214,9.302325579,6.980000667,16.72380597,2.372358653,2.394188342,9.676804247,7.213198959,2.444111027,4.932390816,7.397237876,7.480396678,4.97998224,7.503906274,20.23757095,20.09320087,5.138169117,20.62260257,15.44593134,10.36603758,15.83105763,15.66824236,10.63342996,13.28134936,5.396387703,16.13858777,10.79031614,5.411805507,10.83630462,8.195445698,10.94747029,5.517100297,11.13506582,11.26184516,5.663415799,14.2931548,5.66934856,17.3116775,2.878177303,2.905638975,2.902344398,11.75490906,11.70587428,2.912967193,17.92492,12.05336332,6.044567277,9.074379836,9.156850272,9.189992798,9.223135333
Mario Addison,panthers,0,0,0.661262366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.887772089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.466195408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Alexander,panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.075865822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.419201059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.658357495,2.668826538,2.679295581,2.689764624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.926468572,0,0,0,0,0,0,0,0
Jared Allen,panthers,1.303171644,0.661262366,0.661262366,1.321703423,1.325857306,1.989259383,1.336503314,1.345665416,1.354827528,1.363989639,0.689994261,0.695287649,0.932566473,1.169845287,1.40712411,0.704587942,0.704587942,1.06802647,1.431464988,0.720474859,1.095957948,1.471441036,2.20676728,0.751237813,0.751237813,0.751237813,0.751237813,0.750600761,0.756767227,0.762933702,0.769100168,0.779544132,0.789988096,2.400702202,0.799821829,0,0,0,0,0,1.641494402,0.842691919,0.842691919,0.842691919,0.842691919,0,0,0,0,0,0,0,0,0,0,0.919106235,1.84686926,1.861985547,1.877101843,1.892218139,1.896223461,1.900228775,0.95020018,1.915931871,0.966007447,1.949232372,0.981809817,0.990769279,0.999728741,1.976425098,2.016400057,3.029405129,1.022325992,1.022325992,1.033594552,1.04290746,1.052220358,1.058688265,1.065156172,1.071624078,1.078091975,1.086055938,1.094019892,1.103475375,1.112930849,1.122549744,1.132168629,1.131208523,1.145367611,1.153416092,1.401310437,1.649204771,1.897099115,2.14499345,2.392887794,1.2209842,1.2209842,1.2209842,1.2209842,2.457014317,1.24220325,1.251973642,1.260739897,0,0,0,0,0,0,1.330784937,1.332584915,1.334384894,1.341092624,1.357100106,0,0,0,0,0,0,0,1.443299332,4.359260901,1.477731695,1.477731695,1.48156906,1.498859209,1.516149368,1.524442777,1.532736196,1.935782448,2.338828709,2.741874961,3.144921213,0,0,0,0,0,0,1.650275346,1.666046065,1.681816783,1.697587501,1.71335822,1.713699239,0,0,0,0,0,0,0,1.830803627,0,0,0,0,0,1.922172882,1.909384749,1.930475961,1.951567183,1.972658396,1.956844196,1.972867987,1.988891778,2.004915569,2.020939361,2.039851482,2.058763613,2.926261272,3.79375894,4.661256599,5.528754267,6.396251926,2.157928004,2.153854774,2.172224297,2.19059381,2.208963323,2.220987484,2.233011644,2.245035805,2.257059965,2.269084126,2.282116305,2.295148485,2.303750107,2.312351739,2.319509309,2.326666889,2.349512771,2.372358653,7.182565017,2.404399653,2.404399653,0,0,0,0,0,0,0,0,2.569084563,2.576559505,2.584034446,2.591509396,2.61379209,2.636074792,2.658357495,2.678275666,2.698193847,0,0,0,0,0,0,0,0,0,0,0,0,0,2.878177303,0,0,0,0,0,0,0,0,0,0,0,0
Derek Anderson,panthers,0,0,0.661262366,0.993559841,1.325857306,0.670356467,0.670356467,0.670356467,0.676175643,0.68199482,0.685225695,0.688456561,0.691687436,2.084562162,0.70356205,0.70353592,0.704587942,0.707503899,0.715732499,0.720474859,0,0,0,0,0,0.745877617,1.123539569,1.501201512,0.782191427,0.782191427,0.782191427,0.782191427,1.579976183,0.80023407,0.799821829,0.803447728,0.807073616,0.810699515,0.814325413,0.817536305,0.820747196,1.241433974,1.662120752,0.840530558,1.685383838,0.882025971,0.882025971,0.882025971,0.882025971,0.882488995,0.88295202,0.883415044,0.883878068,0.88946461,0,0,0,0,0,0,0,0,0,0,0.966007447,0.974437768,0.982868098,0.99129842,0.999728741,0,0,0,0,0,0,0,1.052220358,1.056174756,1.422844491,1.789514225,2.15618396,1.101898787,1.101898787,1.101898787,1.112930849,1.12157671,1.126392621,1.131208523,1.145367611,0,0,0,0,0,0,0,1.217421453,1.218408154,0,0,0,0,0,1.266861547,1.279349972,1.291838388,1.304326813,1.316815239,1.322330843,1.771143831,2.21995681,2.668769788,2.691485,2.714200212,1.362606135,1.377139353,1.391672562,1.406205771,1.420738989,1.430432003,1.440125027,1.449818041,1.459511055,1.469204078,1.480940398,1.492676718,1.504413038,1.516149368,1.5250741,1.533998842,1.542923574,1.551848306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.714629995,2.619742003,3.52485401,1.788047548,1.788047548,1.789534095,1.810168856,1.830803627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.020939361,0,0,0,0,0,4.239639302,0,0,0,0,0,2.208963323,0,0,0,0,0,0,2.295148485,0,0,0,0,0,0,0,2.419201059,2.430837281,2.442473512,2.454109734,2.465745956,0,0,0,0,0,0,0,2.574321893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Artis-Payne,panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelvin Benjamin,panthers,0.651585822,0.649833283,0.818918198,0.988003104,1.15708801,1.326172925,1.333442925,1.340712934,1.352351287,1.363989639,0.691687436,0.691687436,0.691687436,1.049405768,1.40712411,1.408150001,1.409175893,0.715732499,0.715732499,0.722395166,0.729057842,0.735720518,1.47117818,0.751237813,0.751237813,0.751237813,0.751237813,0.750600761,0.758478226,0.766355691,0.774233156,0.782110621,0.789988096,0.80023407,0.804242926,0.808251791,0.812260646,0.816269511,0.816603958,0.816938395,0,0,0,0,0,0,0,0.876986707,0.882025971,0.883513693,0.885001425,0.886489156,0.887976879,0.88946461,0.904285423,0.919106235,0,0,0,0,0,0,0.95020018,0.957965935,0.965913893,0.973861859,0.981809817,1.490633649,1.999457482,1.021047492,1.021047492,1.021047492,1.021047492,1.027321018,1.033594552,1.04290746,1.052220358,1.056174756,1.070633409,1.080046785,1.078091975,1.092808049,1.100000216,1.107192384,1.114384542,1.12157671,2.264337257,0,0,0,0,0,0,0,1.196443892,1.20376531,1.211086737,1.218408154,1.2209842,1.231314011,1.241643831,1.251973642,1.892848372,2.533723093,0,0,0,0,0,1.330784937,0,0,0,0,0,0,1.392886271,1.40681263,1.420738989,0,0,0,0,0,0,1.48156906,1.519189347,1.523704963,1.52822058,1.532736196,1.547487047,3.103696621,3.10379833,1.598496217,1.598496217,1.598496217,0,0,0,0,0,0,0,0,0,0,1.714629995,1.732984383,1.751338771,1.76969316,1.788047548,1.797592389,1.80713724,1.816682091,1.826226942,1.835771792,0,0,0,0,0,0,0,0,0,0,0,1.993460375,2.020939361,2.034670978,2.048402596,2.062134204,2.075865822,0,0,0,0,0,2.176624889,2.20039269,2.208963323,0,0,0,0,0,0,2.295148485,3.459925981,4.624703468,5.802352063,6.980000667,2.394188342,2.394188342,2.394188342,0,0,0,0,0,0,0,0,0,0,0,0,2.574321893,2.591509396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.831707899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.148756886
Bene' Benwikere,panthers,0,0,0,0,0,0,0.668251657,0,0,0,0,0,0.691687436,0,0,0,0,0,0,0,0,0.735720518,0.73558909,0,0,0,0,0,0,0,0,0,0.789988096,0,0,0,0,0,0,0,0,0.826635671,0,0,0,0,0,0.876986707,0.880581834,0.884176961,0.887772089,0.892649447,0.897526806,0.902404155,0.907281513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.033594552,0,0,0,0,0,0,0,0,0,0,1.12157671,1.126392621,1.131208523,1.139206619,1.147204715,1.155202812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.714629995,0,0,0,0,0,0,0,0,0,0,0,0,1.922172882,0,0,0,0,0,0,0,0,0,0,2.058763613,0,0,0,0,0,0,0,0,0,0,2.216926159,0,0,0,0,0,2.295148485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83467428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
